,Aktie,Senast,+/-,%,Köp,Sälj,Högst,Lägst,Omsatt,Valuta,Tid
22,Bravida Holding AB,"81,60","0,30","0,37%","81,60","81,60","81,70","80,50",58 344 158,SEK,18:00 
23,Castellum AB,"202,70","2,70","1,35%","202,70","202,70","202,80","200,50",136 206 084,SEK,18:00 
24,Dometic Group AB,"89,36","-1,72","-1,89%","89,36","89,36","91,68","89,28",70 058 951,SEK,18:00 
25,"Electrolux, AB ser. A","254,00","-6,00","-2,31%","254,00","254,00","262,00","254,00",25 416,SEK,18:00 
26,"Electrolux, AB ser. B","253,10","-2,30","-0,90%","253,10","253,10","258,00","253,10",218 216 200,SEK,18:00 
27,Elekta AB ser. B,"126,70","-16,30","-11,40%","126,70","126,70","140,50","116,20",1 369 560 755,SEK,18:00 
28,Epiroc AB ser. A,"110,15","1,40","1,29%","110,15","110,15","110,80","108,75",267 010 749,SEK,18:00 
29,Epiroc AB ser. B,"106,80","1,40","1,33%","106,80","106,80","107,00","105,25",37 032 328,SEK,18:00 
30,EQT AB,"103,50","-2,50","-2,36%","103,50","103,50","107,20","102,20",93 358 418,SEK,17:29 
31,"Ericsson, Telefonab. L M ser. A","87,90","1,50","1,74%","87,90","87,90","87,90","86,40",1 988 962,SEK,18:00 
32,"Ericsson, Telefonab. L M ser. B","88,00","1,78","2,06%","88,00","88,00","88,08","86,52",513 608 008,SEK,18:00 
33,Essity AB ser. A,"304,00","-0,50","-0,16%","304,00","304,00","306,00","301,50",6 555 671,SEK,18:00 
34,Essity AB ser. B,"304,30","0,00","0,00%","304,30","304,30","306,40","301,30",332 583 046,SEK,18:00 
35,Evolution Gaming Group AB,"247,00","1,00","0,41%","247,00","247,00","250,00","245,00",85 769 617,SEK,17:29 
36,Fabege AB,"144,15","0,70","0,49%","144,15","144,15","144,95","141,65",76 866 588,SEK,18:00 
37,Fastighets AB Balder ser. B,"382,00","3,40","0,90%","382,00","382,00","384,20","378,40",133 089 246,SEK,18:00 
38,Fenix Outdoor International AG Ser. B,"911,00","2,00","0,22%","911,00","911,00","914,00","908,00",747 378,SEK,18:00 
39,Getinge AB ser. B,"168,50","-0,35","-0,21%","168,50","168,50","170,75","167,10",115 949 866,SEK,18:00 
40,Hemfosa Fastigheter AB,"116,20","13,40","13,04%","116,20","116,20","120,90","113,30",976 618 027,SEK,17:29 
41,Hemfosa Fastigheter Pref AB,"191,50","-1,00","-0,52%","191,50","191,50","193,00","190,00",21 869 339,SEK,18:00 
42,"Hennes & Mauritz AB, H & M ser. B","185,08","0,08","0,04%","185,08","185,08","186,42","183,62",623 771 660,SEK,18:00 
43,Hexagon AB ser. B,"524,80","2,40","0,46%","524,80","524,80","533,00","520,60",410 897 055,SEK,18:00 
44,HEXPOL AB ser. B,"90,05","1,05","1,18%","90,05","90,05","90,05","88,50",54 034 045,SEK,18:00 
45,Holmen AB ser. A,"297,00","1,00","0,34%","297,00","297,00","298,00","288,00",809 656,SEK,18:00 
46,Holmen AB ser. B,"290,60","1,00","0,35%","290,60","290,60","293,00","285,80",75 380 824,SEK,18:00 
47,Hufvudstaden AB ser. A,"168,10","-0,30","-0,18%","168,10","168,10","169,30","166,90",28 405 714,SEK,18:00 
48,Hufvudstaden AB ser. C,"0,00","0,00","0,00%",1 050,1 250,"0,00","0,00",0,SEK,18:00 
49,Husqvarna AB ser. A,"75,20","-1,00","-1,31%","75,20","75,20","76,80","75,00",456 660,SEK,18:00 
50,Husqvarna AB ser. B,"75,50","-0,86","-1,13%","75,50","75,50","76,80","74,84",99 327 535,SEK,18:00 
51,ICA Gruppen AB,"422,90","-2,40","-0,56%","422,90","422,90","422,90","418,30",128 440 480,SEK,18:00 
52,"Industrivärden, AB ser. A","229,60","1,60","0,70%","229,60","229,60","230,80","228,60",65 016 154,SEK,18:00 
53,"Industrivärden, AB ser. C","224,70","1,50","0,67%","224,70","224,70","226,20","224,00",187 791 628,SEK,18:00 
54,Indutrade AB,"310,60","3,80","1,24%","310,60","310,60","311,40","306,00",36 995 979,SEK,18:00 
55,Intrum AB,"249,70","-1,50","-0,60%","249,70","249,70","253,00","247,90",78 683 807,SEK,18:00 
56,Investor AB ser. A,"501,50","-4,50","-0,89%","501,50","501,50","509,00","499,40",54 583 564,SEK,18:00 
57,Investor AB ser. B,"510,00","-4,00","-0,78%","510,00","510,00","517,40","506,40",754 890 885,SEK,18:00 
